esri_id,esri_idn,GEOID,stcnty,total_pop2016,total_25plus,nHwtindiv,prp_nHwHHs,prp_HSminus,prp_no_auto,prp_not_insured,EstPropPersons5PlusNoEnglish,median_HH_inc
370059503002,370059503002,15000US370059503002,37005,986,801,0.9442190669,0.9467213115,0.4556803995,0.0327868852,0.084178499,0.0335429769,41591
370059503003,370059503003,15000US370059503003,37005,885,754,0.9807909605,0.9789227166,0.4721485411,0.1007025761,0.1276836158,0.0197674419,54531
370079201001,370079201001,15000US370079201001,37007,701,623,0.6918687589,0.6505102041,0.6003210273,0.0357142857,0.1255349501,0,40154
370079201002,370079201002,15000US370079201002,37007,1219,849,0.6628383921,0.6762295082,0.6902237927,0.012295082,0.05414274,0,29600
370079201003,370079201003,15000US370079201003,37007,1040,817,0.5009615385,0.4727668845,0.6866585067,0.0392156863,0.2240384615,0.0205479452,38045
370079202001,370079202001,15000US370079202001,37007,1735,1343,0.4495677233,0.5313868613,0.6142963515,0.0598540146,0.1475504323,0.0448213204,33173
370079203001,370079203001,15000US370079203001,37007,939,750,0.750798722,0.652173913,0.6413333333,0,0.1086261981,0.0546448087,55204
370079203002,370079203002,15000US370079203002,37007,2538,1500,0.4661150512,0.5910693302,0.5993333333,0.0904817861,0.1658786446,0.0090012859,34698
370079203003,370079203003,15000US370079203003,37007,1968,1372,0.6920731707,0.6932432432,0.5983965015,0.0391891892,0.1427845528,0.089055794,44609
370079203004,370079203004,15000US370079203004,37007,2385,1977,0.5312368973,1,0.5847243298,0,0.1501154734,0.0884648742,42305
370079204001,370079204001,15000US370079204001,37007,1149,670,0.3994778068,0.4197530864,0.5552238806,0.0864197531,0.1940818103,0.0712871287,36891
370079204002,370079204002,15000US370079204002,37007,932,555,0.3519313305,0.3324175824,0.609009009,0.1373626374,0.1620171674,0,39366
370079204003,370079204003,15000US370079204003,37007,938,592,0.0703624733,0.0957746479,0.7043918919,0.1154929577,0.1535181237,0,23011
370079205001,370079205001,15000US370079205001,37007,851,660,0.4007050529,0.2887139108,0.6666666667,0.217847769,0.1598119859,0,
370079205002,370079205002,15000US370079205002,37007,758,561,0.2321899736,0.2225201072,0.5632798574,0.1796246649,0.1754617414,0.0287671233,30223
370079205003,370079205003,15000US370079205003,37007,1258,759,0.4777424483,0.4676258993,0.4545454545,0.1438848921,0.2034976153,0.0082949309,37762
370079205004,370079205004,15000US370079205004,37007,1186,840,0.3305227656,0.4590909091,0.6321428571,0.2454545455,0.0983754513,0.0236071766,37411
370079205005,370079205005,15000US370079205005,37007,1719,1337,0.4095404305,0.544,0.4427823485,0.0608,0.2756860243,0.1474358974,39583
370079206001,370079206001,15000US370079206001,37007,1201,970,0.5145711907,0.5353159851,0.6639175258,0.0557620818,0.1323896753,0,35625
370079206002,370079206002,15000US370079206002,37007,1723,904,0.1479976785,0.202247191,0.7865044248,0.3127340824,0.2660069849,0.2306226175,20833
370079206003,370079206003,15000US370079206003,37007,1643,1101,0.3773584906,0.3412698413,0.5694822888,0.0888888889,0.1119902617,0.008186398,30200
370099702001,370099702001,15000US370099702001,37009,856,748,0.9859813084,0.974248927,0.5681818182,0.1158798283,0.1214953271,0,30833
370099702002,370099702002,15000US370099702002,37009,989,652,0.9615773509,0.9865951743,0.5904907975,0.0857908847,0.2082912032,0,27784
370099702003,370099702003,15000US370099702003,37009,845,618,0.9313609467,0.9952830189,0.6262135922,0.1132075472,0.2324195471,0,32955
370099703001,370099703001,15000US370099703001,37009,1493,1067,0.9785666443,1,0.648547329,0.0170542636,0.1882116544,0.0098661029,30417
370099703002,370099703002,15000US370099703002,37009,995,785,0.9768844221,1,0.6305732484,0.0458937198,0.1788944724,0,29500
370099704001,370099704001,15000US370099704001,37009,962,771,0.9615384615,0.9643652561,0.542153048,0.1380846325,0.2068607069,0.0553047404,31420
370099704002,370099704002,15000US370099704002,37009,1211,799,0.91164327,0.9461206897,0.3229036295,0.0862068966,0.1461601982,0.0529147982,46765
370099704003,370099704003,15000US370099704003,37009,882,589,0.8979591837,0.9541778976,0.5110356537,0.25606469,0.2721088435,0.0425531915,18561
370099704004,370099704004,15000US370099704004,37009,1440,1134,0.9423611111,0.9646596859,0.5476190476,0.0890052356,0.0826388889,0.0235042735,31373
370099705001,370099705001,15000US370099705001,37009,994,726,0.9839034205,0.9855072464,0.5344352617,0.1256038647,0.1891348089,0.0063897764,46833
370099705002,370099705002,15000US370099705002,37009,1027,691,0.7205452775,0.8666666667,0.6657018813,0.1875,0.2687439143,0.2502564103,19100
370099705003,370099705003,15000US370099705003,37009,1288,857,0.7585403727,0.7338877339,0.6476079347,0.0166320166,0.4260948905,0.208573784,31563
370099705004,370099705004,15000US370099705004,37009,2030,1470,0.8177339901,0.8775280899,0.4503401361,0.0460674157,0.1409869084,0.1506426735,36822
370099705005,370099705005,15000US370099705005,37009,1100,880,0.9554545455,0.9647749511,0.3988636364,0.0195694716,0.1645454545,0.0472516876,30568
370099707001,370099707001,15000US370099707001,37009,1160,948,0.9939655172,1,0.3280590717,0.0339622642,0.15,0.0155172414,43971
370099707002,370099707002,15000US370099707002,37009,2332,1802,0.9271012007,1,0.3751387347,0.0488322718,0.1234991424,0.0309423347,52174
